entityId,parentId,name,coordinates
29475421,205351567,Nicaragua,"{'latitude': 12.839074748, 'longitude': -85.0288884563}"
29475422,205351567,Costa Rica,"{'latitude': 9.9480970463, 'longitude': -84.2102670174}"
29475424,205351568,Ecuador,"{'latitude': -1.4229667319577446, 'longitude': -78.85267181986866}"
29475425,205351568,Colombia,"{'latitude': 3.9264151199, 'longitude': -73.1040637653}"
29475426,205351567,Panama,"{'latitude': 8.5149895823, 'longitude': -80.1333449745}"
29475427,205351567,Haiti,"{'latitude': 18.9239644978, 'longitude': -72.7064167365}"
29475428,205351568,Argentina,"{'latitude': -35.4222963867, 'longitude': -65.1637031057}"
29475430,205351568,Bolivia,"{'latitude': -16.713330765, 'longitude': -64.6567665099}"
29475431,205351568,Peru,"{'latitude': -9.1814199957, 'longitude': -74.3657526588}"
29475434,27563223,Tonga,"{'latitude': -19.7556677561, 'longitude': -174.6179493029}"
29475435,27563223,Samoa,"{'latitude': -13.7497615615, 'longitude': -172.1636800586}"
29475436,205351567,Canada,"{'latitude': 61.5850876128, 'longitude': -97.9409071974}"
29475437,205351567,United States,"{'latitude': 45.7566336986, 'longitude': -112.6892486287}"
29475438,27563221,Serbia,"{'latitude': 44.2230290897, 'longitude': 20.7788078513}"
99540794,27563220,South Sudan,"{'latitude': 7.2727159877, 'longitude': 30.349827825}"
29475099,205351568,Aruba,"{'latitude': 12.5106383056, 'longitude': -69.9706234112}"
29475173,27563220,Mayotte,"{'latitude': -12.8220058059, 'longitude': 45.1493838424}"
29475183,27563222,Yemen,"{'latitude': 15.889414244, 'longitude': 47.5699422687}"
29475247,27563222,Georgia,"{'latitude': 42.1796730887, 'longitude': 43.5048164462}"
29475269,27563220,Botswana,"{'latitude': -22.1889914723, 'longitude': 23.8144328971}"
29475279,27563222,Turkmenistan,"{'latitude': 39.1953500057, 'longitude': 59.1555452944}"
29475314,27563222,Nepal,"{'latitude': 28.2590473847, 'longitude': 83.9461423565}"
29475323,27563222,Taiwan,"{'latitude': 23.751844559979432, 'longitude': 120.93053452505791}"
29475329,27563222,South Korea,"{'latitude': 36.2350703558, 'longitude': 127.6941861859}"
29475345,27563220,Cameroon,"{'latitude': 5.6945499442, 'longitude': 12.7375360764}"
29475356,27563220,Togo,"{'latitude': 8.5282725705, 'longitude': 0.9772129447}"
29475368,27563220,Tunisia,"{'latitude': 34.1351050942, 'longitude': 9.6006827777}"
29475369,27563221,Spain,"{'latitude': 40.20529473045569, 'longitude': -3.6590579043568927}"
29475379,27563221,Austria,"{'latitude': 47.5881089798, 'longitude': 14.1441273301}"
29475393,27563221,Italy,"{'latitude': 42.7294626566, 'longitude': 12.097084159}"
29475402,205351568,Suriname,"{'latitude': 4.1416331085, 'longitude': -55.9154831766}"
29475413,205351567,Antigua and Barbuda,"{'latitude': 17.2841133189, 'longitude': -61.7978152467}"
29475423,205351568,Venezuela,"{'latitude': 7.1634700751, 'longitude': -66.1513726263}"
29475429,205351568,Chile,"{'latitude': -38.9644463399, 'longitude': -71.5223761244}"
29475432,205351567,Mexico,"{'latitude': 23.9508943892, 'longitude': -102.567947989}"
29475433,27563223,Kiribati,"{'latitude': 0.6673164154, 'longitude': 26.3276180371}"
29475158,205351567,Martinique,"{'latitude': 14.6427244669, 'longitude': -61.0065203386}"
29475249,27563221,Moldova,"{'latitude': 47.2016735578, 'longitude': 28.4720566816}"
29475362,27563220,Sao Tome and Principe,"{'latitude': 0.4756995511, 'longitude': 6.7415498769}"
